ParameterIdentifier,ParameterName,DisplayText,DisplayUnits,GroupID,Icon,Tooltip,Visible?
515,time_since_midnight,TIME FROM MIDNIGHT,(secs)
516,indicated_air_speed,INDICATED AIR SPEED,(ms-1)
517,true_air_speed,TRUE AIR SPEED,(knots)
518,mach_no,MACH NO,(-)
519,deiced_indicated_air_temp_c,DEICED INDICATED AIR TEMP,(deg C)
520,deiced_true_air_temp_k,DEICED TRUE AIR TEMP,(K)
521,deiced_true_air_temp_c,DEICED TRUE AIR TEMP,(deg C)
522,nondeiced_indicated_air_temp_c,NONDEICED INDICATED AIR TEMP,(deg C)
523,nondeiced_true_air_temp_k,NONDEICED TRUE AIR TEMP,(K)
524,nondeiced_true_air_temp_c,NONDEICED TRUE AIR TEMP,(deg C)
525,equivalent_potential_temp,EQUIVALENT POTENTIAL TEMP,(K)
526,refractive_index,REFRACTIVE INDEX,(Nunits)
527,potential_temperature,POTENTIAL TEMPERATURE,(K)
528,dry_air_density,DRY AIR DENSITY,(kg m-3)
529,dew_point,DEW POINT,(deg C)
530,vapour_pressure,VAPOUR PRESSURE,(mb)
531,moist_air_density,MOIST AIR DENSITY,(kg m-3)
532,specific_humidity,SPECIFIC HUMIDITY,(g kg-1)
533,mass_mixing_ratio,MASS MIXING RATIO,(g kg-1)
534,humidity_mixing_ratio,HUMIDITY MIXING RATIO,(g m-3)
535,jw_liquid_water_content,LIQUID WATER CONTENT (JW),(g m-3)
536,relative_humidity,RELATIVE HUMIDITY,(%)
537,heimann_surface_temp,SURFACE TEMP (HEIMANN),(deg C)
538,upper_pyranometer_clear_flux,UPPER PYRANOMETER CLEAR FLUX,(W m-2)
539,upper_pyranometer_red_flux,UPPER PYRANOMETER RED FLUX,(W m-2)
540,upper_pyrgeometer_flux,UPPER PYRGEOMETER FLUX,(W m-2)
541,lower_pyranometer_clear_flux,UPPER PYRANOMETER CLEAR FLUX,(W m-2)
542,lower_pyranometer_red_flux,UPPER PYRANOMETER RED FLUX,(W m-2)
543,lower_pyrgeometer_flux,LOWER PYRGEOMETER FLUX,(W m-2)
546,lifting_condensation_level,LIFTING CONDENSATION LEVEL,(m)
547,fwvs_humidity_mixing_ratio,FWVS HUMIDITY MIXING RATIO,(g m-3)
548,angle_of_attack,ANGLE OF ATTACK,(deg)
549,angle_of_sideslip,ANGLE OF SIDESLIP,(deg)
551,cabin_temperature,CABIN TEMPERATURE,(deg C)
552,solar_zenith_angle,SOLAR ZENITH ANGLE,(deg)
553,solar_azimuth_angle,SOLAR AZIMUTH ANGLE,(deg)
554,psap_lin_abs_coeff,PSAP LIN ABS COEFF,(m-1)
555,psap_log_abs_coeff,PSAP LOG ABS COEFF,(m-1)
556,psap_transmittance,PSAP TRANSMITTANCE,(ratio)
567,gin_northwards_wind_component,NORTHWARDS WIND COMPONENT (GIN),(m s-1)
568,gin_eastwards_wind_component,EASTWARDS WIND COMPONENT (GIN),(m s-1)
569,gin_vertical_wind_component,VERTICAL WIND COMPONENT (GIN),(m s-1)
570,gin_wind_speed,WIND SPEED (GIN),(m s-1)
571,gin_wind_angle,WIND ANGLE (GIN),(deg)
572,total_water_content,TOTAL WATER CONTENT,(g kg)
573,dew_point_flourescence_wvs_c,DEW POINT-FLOURESCENCE WVS,(deg C)
574,teco_ozone_mixing_ratio,OZONE MIXING RATIO (TECO),(ppb)
575,radar_height,RADAR HEIGHT,(ft)
576,static_pressure,STATIC PRESSURE,(mb)
577,pitot_static_pressure,PITOT STATIC PRESSURE,(mb)
578,pressure_height_m,HEIGHT (PRESSURE),(m)
579,pressure_height_kft,HEIGHT (PRESSURE),(kft)
580,solar_albedo,SOLAR ALBEDO,(-)
581,near_infrared_albedo,NEAR INFRA-RED ALBEDO,(-)
582,visible_albedo,VISIBLE ALBEDO,(-)
583,lower_visible_flux,LOWER VISIBLE FLUX,(W m-2)
584,upper_visible_flux,UPPER VISIBLE FLUX,(W m-2)
585,net_infra_red_flux,NET INFRA-RED FLUX,(W m-2)
586,upper_near_infra_red_fraction,UPPER NEAR INFRA-RED FRACTION,(-)
587,lower_near_infra_red_fraction,LOWER NEAR INFRA-RED FRACTION,(-)
588,co_mixing_ratio,CO MIXING RATIO,(ppb)
589,refractivity,REFRACTIVITY,(Munits)
590,corrected_surface_temp,CORRECTED SURFACE TEMP,(deg C)
591,dew_point_total_water,DEW POINT - TOTAL WATER,(deg C)
593,turb_probe_pitot_static,TURB PROBE PITOT-STATIC,(mb)
594,turb_probe_attack_diff,TURB PROBE ATTACK DIFF,(mb)
595,turb_probe_sideslip_diff,TURB PROBE SIDESLIP DIFF,(mb)
596,turb_probe_attack_check,TURB PROBE ATTACK CHECK,(mb)
597,turb_probe_sideslip_check,TURB PROBE SIDESLIP CHECK,(mb)
598,s9_static_pressure,STATIC PRESSURE (S9),(mb)
599,turb_probe_dry_tas,TURB PROBE DRY TAS,(m s-1)
600,turb_probe_wet_tas,TURB PROBE WET TAS,(m s-1)
601,turb_probe_cor_pitot_static,TURB PROBE COR PITOT-STATIC,(mb)
610,ten_m_wind_speed,10 M WIND SPEED,(m s-1)
611,teco_so2,SO2 (TECO),(ppb)
619,cabin_pressure,CABIN PRESSURE,(mb)
620,neph_pressure,NEPH PRESSURE,(mb)
621,neph_temperature,NEPH TEMPERATURE,(K)
622,neph_blue_sp,NEPH BLUE SP,(m-1)
623,neph_green_sp,NEPH GREEN SP,(m-1)
624,neph_red_sp,NEPH RED SP,(m-1)
625,neph_blue_bsp,NEPH BLUE BSP,(m-1)
626,neph_green_bsp,NEPH GREEN BSP,(m-1)
627,neph_red_bsp,NEPH RED BSP,(m-1)
628,neph_humidity,NEPH HUMIDITY,(m-1)
629,neph_status,NEPH STATUS,(m-1)
655,theta_w,THETA W,(K)
657,aqd_no,NO (AQD),(ppt)
658,aqd_no2,NO2 (AQD),(ppt)
